,frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id,FIPS5
3369839,16555849,130982,"Zayo Network Services, LLC",1302565977,50,20000,20000,1,B,PA,421257921001038.0,882a809a01fffff,42125.0
3077452,6097711,130993,FirstLight Fiber,1038260773,50,10000,10000,1,B,PA,421279609001012.0,882aa5b537fffff,42127.0
3255851,3768165,130317,Xfinity,1373274159,50,5000,5000,1,B,PA,421298074042010.0,882a843033fffff,42129.0
3238998,6097711,130993,FirstLight Fiber,1476775964,50,10000,10000,1,B,PA,421314001001077.0,882aa5056dfffff,42131.0
3022011,3510195,130370,Lightpath,1043172565,50,10000,10000,1,B,PA,421330102101002.0,882aac4829fffff,42133.0
31,19703131,300049,Eastern Shore of Virginia Broadband Authority,1299040364,50,20000,20000,1,B,VA,510011000000000.0,882aa92cc7fffff,51001.0
181,3775244,130403,lumos,1000720446,50,5000,5000,1,B,VA,510051000000000.0,882a8e01a9fffff,51005.0
21220,3768165,130317,Xfinity,1001383678,50,200,200,1,B,VA,510090000000000.0,882a88d093fffff,51009.0
1301,3775244,130403,lumos,1000095601,50,5000,5000,1,B,VA,510179000000000.0,882a8e172dfffff,51017.0
2527,3775244,130403,lumos,1296105165,50,5000,5000,1,B,VA,510190000000000.0,882a88c1d3fffff,51019.0
42868,3768165,130317,Xfinity,1000429777,50,100,100,1,B,VA,510299000000000.0,882a8c28c9fffff,51029.0
26266,3768165,130317,Xfinity,1002741637,50,200,200,1,B,VA,510310000000000.0,882a8819bdfffff,51031.0
2531,14817357,350042,UPN,1001165243,50,10000,10000,1,B,VA,510330000000000.0,882aab445bfffff,51033.0
18333,25646373,130235,Spectrum,1002299597,50,1000,500,1,B,VA,510351000000000.0,882a8a6097fffff,51035.0
2485,3768165,130317,Xfinity,1000151755,50,1000,1000,1,B,VA,510366000000000.0,882af64b19fffff,51036.0
27424,3768165,130317,Xfinity,1000529307,50,35,35,1,B,VA,510379000000000.0,882a88b2bdfffff,51037.0
25836,3768165,130317,Xfinity,1006806078,50,10000,10000,1,B,VA,510411000000000.0,882a8d8ccbfffff,51041.0
822,3768165,130317,Xfinity,1000234305,50,500,500,1,B,VA,510430000000000.0,882aaac449fffff,51043.0
1702,3768165,130317,Xfinity,1408634355,50,1000,1000,1,B,VA,510479000000000.0,882aaa28ebfffff,51047.0
5760,3768165,130317,Xfinity,1000984713,50,400,400,1,B,VA,510538000000000.0,882a8db96dfffff,51053.0
25460,16555849,130982,ZAYO GROUP LLC,1341754009,50,100000,100000,1,B,VA,510595000000000.0,882aaab33bfffff,51059.0
33396,3768165,130317,Xfinity,1604184590,50,1000,1000,1,B,VA,510619000000000.0,882aaa04cbfffff,51061.0
4771,3768165,130317,Xfinity,1000685099,50,8000,8000,1,B,VA,510650000000000.0,882a8ca9c7fffff,51065.0
40119,3768165,130317,Xfinity,1298942791,50,1000,1000,1,B,VA,510691000000000.0,882aaacc01fffff,51069.0
4133,1834696,130360,Cox Communications,1001537087,50,2000,2000,1,B,VA,510731000000000.0,882af61b6bfffff,51073.0
12985,3768165,130317,Xfinity,1000749497,50,2000,2000,1,B,VA,510754000000000.0,882aab6ca7fffff,51075.0
29,18473223,260062,"GigaBeam Networks, LLC",1001018209,50,2000,2000,1,B,VA,510771000000000.0,882a99aab7fffff,51077.0
752,25646373,130235,Spectrum,1000221758,50,1000,500,1,B,VA,510819000000000.0,882a8d2583fffff,51081.0
1973,25646373,130235,Spectrum,1002328309,50,1000,500,1,B,VA,510839000000000.0,882a882c31fffff,51083.0
174,3768165,130317,Xfinity,1003695462,50,1000,1000,1,B,VA,510853000000000.0,882aab672bfffff,51085.0
904,16555849,130982,ZAYO GROUP LLC,1306214413,50,16000,16000,1,B,VA,510872000000000.0,882a8d92b1fffff,51087.0
2131,3768165,130317,Xfinity,1003019115,50,500,500,1,B,VA,510890000000000.0,882a8aaec5fffff,51089.0
1972,25646373,130235,Spectrum,1001055797,50,1000,500,1,B,VA,510933000000000.0,882af66ed7fffff,51093.0
2824,1834696,130360,Cox Communications,1002880621,50,2000,2000,1,B,VA,510951000000000.0,882af655b7fffff,51095.0
44164,15336449,280001,Breezeline,1528092066,50,1000,600,1,B,VA,510990000000000.0,882aabd49bfffff,51099.0
33680,3768165,130317,Xfinity,1288797002,50,35,35,1,B,VA,511030000000000.0,882aaba4ddfffff,51103.0
2147,19066034,200014,Cogent Communication,1308275965,50,100000,100000,1,B,VA,511076000000000.0,882aaa85d9fffff,51107.0
42063,3768165,130317,Xfinity,1295969174,50,1000,1000,1,B,VA,511179000000000.0,882a8d6cc5fffff,51117.0
10824,1834696,130360,Cox Communications,1000798330,50,2000,2000,1,B,VA,511277000000000.0,882aab2cd3fffff,51127.0
30,19703131,300049,Eastern Shore of Virginia Broadband Authority,1000672235,50,20000,20000,1,B,VA,511319000000000.0,882af68463fffff,51131.0
47569,3768165,130317,Xfinity,1001257503,50,1000,1000,1,B,VA,511390000000000.0,882aaa783bfffff,51139.0
419,25646373,130235,Spectrum,1001280715,50,1000,500,1,B,VA,511410000000000.0,882a8a2b35fffff,51141.0
49034,3768165,130317,Xfinity,1004593562,50,1000,1000,1,B,VA,511430000000000.0,882a88620bfffff,51143.0
896,3768165,130317,Xfinity,1000573986,50,1000,1000,1,B,VA,511455000000000.0,882a8dd71bfffff,51145.0
5327,3768165,130317,Xfinity,1000364667,50,100,100,1,B,VA,511479000000000.0,882a8d59d3fffff,51147.0
33818,3768165,130317,Xfinity,1000518152,50,200,200,1,B,VA,511499000000000.0,882a8d84e3fffff,51149.0
736,16555849,130982,ZAYO GROUP LLC,1007420757,50,60000,60000,1,B,VA,511539000000000.0,882aaaaacbfffff,51153.0
36558,3768165,130317,Xfinity,1288885410,50,200,200,1,B,VA,511552000000000.0,882a8a565dfffff,51155.0
10757,15336449,280001,Breezeline,1000156619,50,250,20,1,B,VA,511590000000000.0,882aabaa1dfffff,51159.0
650,1834696,130360,Cox Communications,1295980550,50,2000,2000,1,B,VA,511610000000000.0,882a8a953bfffff,51161.0
46234,3768165,130317,Xfinity,1296110415,50,5000,5000,1,B,VA,511650000000000.0,882a8cd98dfffff,51165.0
418,25646373,130235,Spectrum,1001133871,50,1000,500,1,B,VA,511670000000000.0,882a99c4bbfffff,51167.0
20870,3768165,130317,Xfinity,1002471079,50,100,100,1,B,VA,511710000000000.0,882aaa4e23fffff,51171.0
252,25646373,130235,Spectrum,1000560165,50,1000,500,1,B,VA,511752000000000.0,882af2c565fffff,51175.0
3101,1834696,130360,Cox Communications,1004763925,50,2000,2000,1,B,VA,511770000000000.0,882aab52e5fffff,51177.0
649,1834696,130360,Cox Communications,1004468619,50,2000,2000,1,B,VA,511790000000000.0,882aabc8b9fffff,51179.0
8607,25646373,130235,Spectrum,1288809772,50,1000,500,1,B,VA,511839000000000.0,882a8db5c1fffff,51183.0
3003,3768165,130317,Xfinity,1001790179,50,1000,1000,1,B,VA,511870000000000.0,882aaa180bfffff,51187.0
28242,25646373,130235,Spectrum,1002907257,50,1000,500,1,B,VA,511910000000000.0,882a9971e3fffff,51191.0
33819,3768165,130317,Xfinity,1003217029,50,300,300,1,B,VA,511971000000000.0,882a8a4f67fffff,51197.0
7539,3768165,130317,Xfinity,1003615847,50,10000,10000,1,B,VA,515102000000000.0,882aa87869fffff,51510.0
731,3775244,130403,lumos,1005745138,50,5000,5000,1,B,VA,515500000000000.0,882af62037fffff,51550.0
17413,3768165,130317,Xfinity,1001422245,50,1000,1000,1,B,VA,515900000000000.0,882a8b9b4bfffff,51590.0
753,1834696,130360,Cox Communications,1003850367,50,2000,2000,1,B,VA,516500000000000.0,882af63a6bfffff,51650.0
10742,3768165,130317,Xfinity,1000289071,50,1000,1000,1,B,VA,516708000000000.0,882a8d85c7fffff,51670.0
22021,3768165,130317,Xfinity,1005003859,50,2000,2000,1,B,VA,517601000000000.0,882a8d983dfffff,51760.0
4910,1834696,130360,Cox Communications,1000299816,50,2000,2000,1,B,VA,517750000000000.0,882a8a9193fffff,51775.0
3,1834696,130360,Cox Communications,1003294946,50,2000,2000,1,B,VA,518001000000000.0,882af62a25fffff,51800.0
3257,19703131,300049,Eastern Shore of Virginia Broadband Authority,1357207733,50,20000,20000,1,B,VA,518100000000000.0,882af63099fffff,51810.0
3621166,14281588,190435,Citynet LLC,1073933529,50,1000,1000,1,B,WV,540019655004031.0,882a8159cbfffff,54001.0
3628384,29626009,130258,Frontier,1046190359,50,7000,7000,1,B,WV,540039711051006.0,882aae6b17fffff,54003.0
3631247,29626009,130258,Frontier,1073951917,50,7000,7000,1,B,WV,540190209001036.0,882a9d9913fffff,54019.0
3628154,29626009,130258,Frontier,1024525160,50,7000,7000,1,B,WV,540239694002029.0,882a856dd3fffff,54023.0
3628697,29626009,130258,Frontier,1047109506,50,7000,7000,1,B,WV,540259507012012.0,882a8e4ccbfffff,54025.0
3627374,29626009,130258,Frontier,1011726385,50,7000,7000,1,B,WV,540330308011000.0,882a80763bfffff,54033.0
3615306,3768165,130317,Xfinity,1104371846,50,10000,10000,1,B,WV,540379726012024.0,882aaa9969fffff,54037.0
3629357,29626009,130258,Frontier,1062958886,50,7000,7000,1,B,WV,540390115002013.0,882a9ca587fffff,54039.0
3628885,29626009,130258,Frontier,1056609224,50,7000,7000,1,B,WV,540490210011023.0,882a800401fffff,54049.0
3631690,29626009,130258,Frontier,1103959009,50,7000,7000,1,B,WV,540510209002021.0,882a86248dfffff,54051.0
3627111,29626009,130258,Frontier,1011171365,50,7000,7000,1,B,WV,540539551012015.0,882a9cc60bfffff,54053.0
3631946,29626009,130258,Frontier,1139229733,50,7000,7000,1,B,WV,540570104002057.0,882a852907fffff,54057.0
3615336,3768165,130317,Xfinity,1298902602,50,10000,10000,1,B,WV,540610102041001.0,882a801639fffff,54061.0
3628181,29626009,130258,Frontier,1028469949,50,7000,7000,1,B,WV,540679505001056.0,882a832549fffff,54067.0
3628376,29626009,130258,Frontier,1039800066,50,7000,7000,1,B,WV,540739622002031.0,882a82aaadfffff,54073.0
3631327,29626009,130258,Frontier,1087019336,50,7000,7000,1,B,WV,540790202004026.0,882a9c14c5fffff,54079.0
3632523,29626009,130258,Frontier,1316823089,50,7000,7000,1,B,WV,540810015003013.0,882a9d1095fffff,54081.0
